mid,title
13,Forrest Gump
24,Kill Bill: Vol. 1
79,英雄
82,Miami Vice
87,Indiana Jones and the Temple of Doom
604,The Matrix Reloaded
746,The Last Emperor
843,花样年华
1273,TMNT
146,卧虎藏龙
285,Pirates of the Caribbean: At World's End
393,Kill Bill: Vol. 2
1436,??
1439,Anna and the King
1499,Teenage Mutant Ninja Turtles III
1735,The Mummy: Tomb of the Dragon Emperor
605,The Matrix Revolutions
672,Harry Potter and the Chamber of Secrets
673,Harry Potter and the Prisoner of Azkaban
674,Harry Potter and the Goblet of Fire
675,Harry Potter and the Order of the Phoenix
767,Harry Potter and the Half-Blood Prince
1904,Memoirs of a Geisha
2008,Wu Ji
2111,巴尔扎克与小裁缝
844,2046
944,Lethal Weapon 4
1248,Hannibal Rising
1494,满城尽带黄金甲
1729,The Forbidden Kingdom
2314,The Long Run
2463,暗战
2644,最佳拍档
1934,Shakespeare in Love
1996,Lara Croft Tomb Raider: The Cradle of Life
2085,Romeo Must Die
2109,Rush Hour
2137,风云雄霸天下
2645,Zuijia paidang daxian shentong
2646,Zuijia paidang zhi nuhuang miling
2647,Zuijia paidang zhi qianli jiu chaipo
2648,新最佳拍档
2140,Kiss of the Dragon
2270,Stardust
4108,The Transporter
4588,色?戒
4961,Mimic
5174,Rush Hour 3
7549,霍元甲
8341,Samsara
8435,A Cock and Bull Story
8584,Shanghai Noon
9048,倩女幽魂III：道道道
5175,Rush Hour 2
6038,Shanghai Knights
6972,Australia
7346,文雀
8393,The Gods Must Be Crazy
8697,我是谁
9053,DOA: Dead or Alive
9056,警察故事
9060,饺子
8943,一半海水一半火焰
9050,倩女幽魂II人间道
9404,警察故事4之简单任务
9449,The Borrowers
9455,The Corruptor
9460,黑侠
9461,Enter the Dragon
9470,功夫
9594,Double Impact
10034,High Heels and Low Lifes
10044,福星高照
9471,Charlie's Angels: Full Throttle
9502,Kung Fu Panda
9550,十面埋伏
9581,全职杀手
9696,Koroshiya 1
10109,小白龙情海翻波
10204,Around the World in 80 Days
10222,Kickboxer
10275,Shao Lin Si
10348,霹雳火
10404,大红灯笼高高挂
10027,Unleashed
10257,Chin Kei Bin 2 - Fa Tou Tai Kam
10265,韩城攻略
10387,荆轲刺秦王
10431,War
10451,饮食男女
10616,Sat sau ji wong
10617,黄飞鸿
10619,黄飞鸿之三狮王争霸
10610,The Medallion
10618,黄飞鸿之二男儿当自强
10620,黄飞鸿之西域雄狮
10622,一个好人
10623,Cradle 2 the Grave
10674,Mulan
10753,警察故事续集
10835,喋血双雄
10974,龙兄虎弟
10703,七剑
10771,The Tuxedo
10775,无间道
10796,The One
10852,倚天屠龙记之魔教教主
10975,飞鹰计划
10995,L'Amant
10997,霸王别姬
11018,Year of the Dragon
11104,重庆森林
10855,赤裸特工
10951,琉璃樽
11134,警察故事 III：超级警察
11143,太极张三丰
11198,城市猎人
11205,快餐车
11220,堕落天使
11230,醉拳
11286,The Cannonball Run
11332,8 ? Women
11471,英雄本色
11492,盲井
11537,蛇形刁手
11553,千禧曼波
11554,最好的时光
11563,师弟出马
11690,Bloodsport
11702,The Replacement Killers
11782,辣手神探
11817,Bulletproof Monk
11636,新警察故事
11647,无间道II
11653,Shen hua
11713,精武门
11891,Kung Pow: Enter the Fist
11950,Cannonball Run II
11960,Fu Zi
12207,醉拳二
12211,Highlander: Endgame
12289,Chi bi
12434,荡寇
13099,Dak ging san yan lui
13361,A Room with a View
11770,少林足球
11841,少林卅六房
11847,特务迷城
11909,牒血街头
11937,The Gods Must Be Crazy II
12246,Монгол
13513,Jin bei tong
13514,豪侠
13807,放?逐
14172,Wake of Death
14310,无间道III: 终极无间
12276,我的父亲母亲
12444,Harry Potter and the Deathly Hallows: Part 1
12445,Harry Potter and the Deathly Hallows: Part 2
12481,唐山大兄
12543,Dai si gin
14543,The Matrix Revisited
14596,Anita and Me
14735,Boarding Gate
14797,Tian di ying xiong
14808,墨攻
12572,"New York, I Love You"
12780,少年黄飞鸿之铁马骝
13127,杀破狼
13345,西游记第壹佰零壹回之月光宝盒
13402,鬼域
13405,黄石的孩子
14816,狗咬狗
15026,The Guyver
15136,夕阳天使
15724,鬼打鬼
15923,Bodyguard: A New Beginning
16036,鬼马天师
13481,Wu du
13688,长江七号
13836,Race to Witch Mountain
14016,神探
14044,Ji jie hao / Assembly
16269,Du shen
16419,Oh Schucks...! Here Comes UNTAG
16687,Wushu
17158,They Wait
17457,千机变
18060,証人
18232,非诚勿扰
14164,Dragonball Evolution
14202,The Painted Veil
14283,The Red Violin
14392,投名状
18311,阿飞正传
18329,春光乍洩
18385,He ni zai yi qi
18666,新精武门
18670,Hong Xi Guan: Zhi Shao Lin wu zu
14449,Ye yan
14538,三国之见龙卸甲
14539,江山美人
14756,叶问
18704,???
18735,飞渡捲云山
18741,龙腾虎跃
18747,黑社会
18758,Jian hua yan yu Jiang Nan
18760,拳精
15077,黑社会2：以和为贵
15384,赤壁 2
15770,Zhong hua ying xiong
15804,牯岭街少年杀人事件
15860,龙虎门
18812,Lin Shi Rong
18813,龙之忍者
18816,Mang lung
18817,白发魔女传
18822,Xilu xiang
18852,Huo Yuan-Jia
18855,蠍子战士
15939,双子神偷
16321,Shu shan zheng zhuan
16407,Dragon Lord
16411,Tau man ji D
18857,重案组
18867,招半式闯江湖
19267,The Big Brawl
19274,笑拳怪招
16657,门徒
17082,神枪手 / Sun cheung sau
17108,Gong fu guan lan
17422,颐和园
17467,力王
19528,男儿本色
20002,Chandni Chowk To China
20188,如来神掌
20585,Ha Yat Dik Mo Mo Cha
20966,Shao Lin yu Wu Dang
21519,A计划
17653,方世玉
17808,Hua pi
17809,Jing wu ying xiong
17811,Fong Sai Yuk juk jaap
18031,Dark Matter
18305,Ying hung boon sik II
21522,Da lao ai mei li
21537,Ding tian li di
21708,?? ??? 2: ??? ??
21835,西游记大结局之仙履奇缘
21964,天下第一拳
18426,???
18476,Horsemen
18665,鼠胆龙威
18667,东方不败之风云再起
21990,The Man from Hong Kong
22082,Encrypt
22124,洪熙官
22193,Ga yau hei si 2009
22411,Sh?rin sh?jo
22422,?????????
22980,Shi ying xiong chong ying xiong
23019,Kinamand
23676,Ten Minutes Older: The Trumpet
23981,Iron And Silk
24163,旺角卡门
24330,Seventh Moon
24444,新座头市　破れ！唐人剣
24546,Into the Sun
24636,Andy Lau Wonderful World Concert Tour Shanghai 2008
24674,Gin gwai 2
18672,笑傲江湖II东方不败
18674,Zhong Nan Hai bao biao
18707,夏日福星
18725,给爸爸的信
18731,黄飞鸿之铁鸡斗蜈蚣
24993,Kickboxer 2:  The Road Back
25124,Gong fu chu shen
25355,Irma Vep
25384,Bai fa mo nu zhuan II
25423,Kung Fu Killer
25425,笑太极
25474,Yi ngoi
25538,一一
25645,Wing Chun
25654,缘份
25661,Hung kuen dai see
25772,Mor gwai tin si
25838,鬼子来了
18763,龙的心
18764,双龙会
18767,火烧岛
18814,Liu zhi qin mo
26010,Long nga
26480,The Legend of the 7 Golden Vampires
26569,Hu bao long she ying
26582,Zhui Ying
26615,陆阿采与黄飞鸿
26875,天涯明月刀
26929,Dai noi muk taam 009
27060,Mei shao nian zhi lian
27062,Lan Yu
27073,侠盗高飞
27761,六壮士
28039,Xin du bi dao
28366,House of Fury
18860,笑傲江湖
18877,伤城
18899,复仇
19156,十八般武艺
29014,群龙戏凤
29346,宋家皇朝
29363,天下无贼
29459,虎鹤双形
29584,Tai-Pan
29594,飞虎雄心2傲气比天高
29972,二十四城记
19464,Mo hup leung juk
19503,赌神2
19611,Bo chi tung wah
19935,蝴蝶
20083,新宿事件
30004,Legend of the Dragonslayer Sword
30023,Adventures of Power
30112,苹果
20342,不能说的秘密
20811,龙行天下
21345,南京!南京!
21521,A计划续集
30265,Chinese Box
30421,倩女幽魂
30600,麦田
30942,黑拳
31027,Mao xian wang
31185,Baiyin diguo
31439,活着
21621,十四女英豪
21733,Fei lung mang jeung
22809,Feng Yun Jue
23172,The Spy Next Door
23698,Mai dou xiang dang dang
31680,Prisoner 701: Sasori
32091,The Touch
32151,铁三角
32162,黑白战场
32164,三岔口
24889,窃听风云
24922,伊波拉病毒
24986,Fei chang wan mei
25074,奇蹟
25187,Joi sun ho
32229,Bau lit do see
32249,Gong yuan 2000 AD
32516,金瓶梅2 爱的奴隶
32520,五郎八卦棍
25536,PTU
25539,奇谋妙计五福星
25626,建国大业
25655,Duo shuai
25664,柔道龙虎榜
32524,Women From Mars
32982,Ma Yong Zhen
33063,摩登保镳
33338,硬汉
33542,红番区
33840,龙凤斗
25676,Bo bui gai wak
26136,秘岸
26150,Duo biao
26259,大醉侠
26422,The Pillow Book
26499,Muk lau hung gwong
33908,"??, ???"
34182,孔子
34216,战·鼓
34658,搏命单刀夺命抢
34800,刁手怪招
34856,Leui ting jin ging
35117,决战紫禁之顚
35170,Snake and Crane Arts of Shaolin
26784,Qin Song
26877,赤裸羔羊
27578,The Expendables
28578,Shamo
28772,旺角黑夜
29977,Pou hark wong
35800,"Sing kung chok tse yee: Ngor but mai sun, ngor mai chi gung"
35854,导火线
30596,十月围城
31614,Ching toi
31642,Heaven & Earth
32233,大只佬
36113,Luo ye gui gen
36171,Ngo liu poh lut gau ching
36222,Dead or Alive: Final
36273,Hy?ry?-gai
36276,Qing feng xia
36348,半支烟
36640,One Last Dance
32582,Feng sheng
32388,金燕子
32517,审死官
32629,满清十大酷刑
32654,风云Ⅱ
32909,花木兰
36669,Die Another Day
36682,合气道
36931,Hak bak do
37185,Tian mi mi
37263,The Final Curtain
37486,Sham moh
33537,Chin Long Chuen Suet
34179,Jin Yi Wei
34526,我的最爱
34561,紫蝴蝶
34777,Mit moon
35038,龙在天涯
37557,摇啊摇，摇到外婆桥
37588,Bruce Lee: A Warrior's Journey
37711,オペレッタ狸御殿
37844,Ai qing hu jiao zhuan yi
35102,金瓶梅
35138,大兵小将
36244,极道黒社会
36261,十三太保
37868,A Serious Shock! Yes Madam!
37909,Keep Cool
38025,Invisible Waves
38034,女警察
38036,Sijie
38037,Ouran
38040,铁汉柔情
38057,宝葫芦的秘密
38097,Nu zi tai quan qun ying hui
38099,少林门
38100,Fa qian han
38143,秋菊打官司
38264,For lung
36266,Xích l?
36586,Blade II
37030,Shao Lin xiao zi
37032,南北少林
37034,Su Qi-Er
38425,迷你特攻队
38741,Huang cun ke zhan
38955,超级计划
39027,Kickboxer 3: The Art of War
39245,Li Xiao Long zhuan qi
39390,满清十大酷刑之赤裸凌迟2
39432,Hunting Venus
39547,蜈蚣咒
39560,杜拉拉升职记
39751,醉马骝
39828,古惑仔之人在江湖
37304,全城热恋
37472,叶问2: 宗师传奇
37528,Jump
39851,Clean
39854,皇家师姐IV直击证人
39865,Di yu wu men
39881,San De huo shang yu Chong Mi Liu
39886,She sha shou
39900,原振侠与卫斯理
39901,杂家小子
40005,Mei nui sik sung
40008,Lik goo lik goo dui dui pong
40027,Ninja Terminator
40029,女集中营
40038,尸妖
40066,乌鼠机密档案
40067,Wu zhao shi ba fan
40070,Zhong gui
40077,Bin lim mai ching
40081,残缺
37702,大内密探零零发
37703,唐伯虎点秋香
37848,Ci Ling
37849,Wo de tangchao xiongdi
37850,同门
40105,羔羊医生
40107,Hu meng wei long
40118,???
40207,Shen Jing Dao yu Fei Tian Mao
40226,The Era of Vampires
40359,Jing tian long hu bao
40371,烹尸之丧尽天良
40388,忍武者
40390,Sang sei kuen chuk
40435,中国超人
40486,Zhong kui niang zi
40572,How Bruce Lee Changed the World
40751,东邪西毒
37984,跟踪
38030,江湖
38155,Zu: The Warriors from the Magic Mountain
38181,吴清源
38407,Shanghai
38575,The Karate Kid
40830,少林英雄之方世玉洪熙官
40832,Fen nu qing nian
40863,成龙的特技
40889,半生缘
40896,Xiang ji mao yi yang fei
39277,All About Women
39278,Sam hoi tsam yan
39448,Huang jia shi jie
39693,岁月神偷
39776,刀马旦
40974,Lü cha
40980,中华丈夫
41069,Lie mo qun ying
41072,杀手天使
41158,暗花
39850,Eros
39857,八仙饭店之人肉叉烧饱
39915,青蛇
39998,Mi tao cheng shu shi 1997
40006,奇逢敌手
41196,两个只能活一个
41198,向左走向右走
41289,Bloodfight
41343,食神
40166,新流星蝴蝶剑
41364,整蛊专家
40025,撕票风云
40213,新龙门客栈
40346,赌圣
40829,少林木人巷
40977,伊莎贝拉
41377,洪文定三破白莲教
41378,五遁忍术
41383,少林五祖
41387,国产凌凌漆
41392,Fei ying
41400,恋爱行星
41500,Daai sau cha ji neui
41541,Wu hu tu long
41546,机器侠
41673,Ba hai hong ying
41161,大丈夫
41244,Ying hung boon sik III jik yeung ji gor
41380,败家仔
41490,越光宝盒
41535,未来警察
41783,Bian zou bian chang
41819,雌雄双煞
41821,菊豆
41822,客途秋恨
42006,Hong gao liang
41544,游龙戏凤
41838,Mei lai muk ling
41980,Fei saa fung chung chun
41993,志明与春娇
42120,龙虎风云
42230,猩猩王
42340,Ga goh yau chin yan
42544,"El kárate, el Colt y el impostor"
42560,American Fusion
42842,高度戒备
42845,Dao
43152,瘦身男女
43279,Attack Force Z
43637,Zhong hua zhan shi
43672,水浒传
44145,Ai de jiao yu
44154,侠女
42287,黄飞鸿之五龙城歼霸
42324,?? ??? 3
42380,打擂台
42855,黑金
43636,Dung fong saam hap
44217,茉莉花开
44263,全城戒备
44458,如果·爱
44596,弹道
44616,苏乞儿
44619,Lian ai zhong de Bao Bei
44645,Bruce Lee: The Legend
44673,心中有鬼
44676,Jieguo
44677,Bak Ging lok yue liu
44740,月满轩尼诗
44742,双食记
44774,Wu ren jia shi
44777,Iron Fist Pillage
44837,Mei Lanfang
44092,剑雨
44133,变节
44162,蓝风筝
44245,鎗王之王
44249,Yip Man chinchyun
44852,Gaai tau saat sau
44860,雪儿
44861,最后胜利
44865,一代宗师
44924,Shi zi mo hou shou
44971,鬼猛脚
45011,Death Code: Ninja
45197,大小黄天霸
45217,Bat sei ching mai
45303,暗战 2
45304,Ming Ming
45379,天下无双
44267,Yeshou xingjing
44322,东宫西宫
44424,小倩
44554,中华英雄
44555,三枪拍案惊奇
45381,B gai waak
45383,百年好合
45389,Bad Boy特攻
45394,i九一神鵰侠侣
45395,Bi xie lan tian
45396,Biu Che Ji Che San Chuen Suet
45399,City Of Glass
45401,城市女猎人
45405,赤色大风暴
45410,Oi yue shing
45411,La Brassiere
44558,画魂
44560,唐山大地震
44748,Tao hua yun
44914,蝶变
45385,Mou han fou wut
45413,安娜与武林
45414,Chuet sik san tau
45415,Gon chaai lit feng
45420,Chung on chi ma gun
45425,天堂口
45426,Pao zhi nu peng you
45429,Pau mui
45430,Gwai ma kwong seung kuk
45432,Tou shen gu zu
45435,大冒险家
45437,黑猫
45438,东京攻略
45391,Gau lung bing sat
45397,Ngo joh aan gin diy gwai
45408,The Protector
45417,钟无艳
45418,孤男寡女
45439,戏王之王
45442,花旗少林
45443,Hong tian huang jia jiang
45448,煎酿叁宝
45449,He yue qing ren
45450,皇家战士
45453,香港奇案之强奸
45440,卫斯理蓝血人
45447,皇家女将
45452,回魂夜
45454,急冻奇侠
45457,Jui oi nui yun kau muk kong
45459,Xin long zhong hu dou
45460,惊天12小时
45463,辣手回春
45464,Xing yuan
45470,流氓医生
45471,Yat luk che
45472,Sam dung
45475,野蛮密笈
45477,热血最强
45478,Sat yik gaai lui wong
45479,老夫子
45480,Youling renjian
45482,Shuang xiong
45484,玉观音
45487,算死草
45488,十二夜
45495,Yue doh laai yue ying hung
45496,瘦身
45473,有情饮水饱
45490,恋战冲绳
45491,Yu pu tuan zhi: Tou qing bao jian
45497,Sing gam do see
45501,森冤
45504,Sun jaat si mui
45505,Sing yuet tung wa
45506,Luen seung ngei dik chong
45508,Sun ying hong boon sik
45573,Skyline Cruisers
45646,"Leaving Me, Loving You"
45736,Shao Lin si
45815,飞虎雄心
45859,黄河绝恋
45863,Sun zat see ze
45889,Here Comes Fortune
45912,情癫大圣
45925,拳神
46114,三十六迷形拳
46122,成龙的传奇
46124,龙拳
46155,Sing si jin jang
46528,The Warrior's Way
46711,Cheung Gong 7 hou: Oi dei kau
46736,疯猴
46791,Tin seung yan gaan
46839,Hot Potato
46871,Eve and the Fire Horse
46962,Qi Tian Ai Shang Ni Year
47051,荒村公寓
47102,我爱你
47253,Pi li long quan
47423,纵横四海
45502,Luen ching go gup
45507,至尊无上
45509,摄氏32度
45682,Xun zhao Cheng Long
45871,枪火
45892,金钱帝国
47428,美丽新世界
47537,7 jin gong
47583,Shui shuo wo bu zai hu
47647,逃学威龙
47648,武状元苏乞儿
47694,风月
45935,海上花
45999,童年童年
46111,风雨双流星
46669,人间喜剧
47291,鸡同鸭讲
47293,Changhen Ge
47847,Jing Gai'er
47971,xXx: Return of Xander Cage
48294,Chu Ba
48297,Nan Shao Lin yu bei Shao Lin
48298,Hao xia zhuan
48299,Xin fei hu wai chuan
48300,独臂刀王
48301,少林搭棚大师
48773,Si wang ta
47854,Jing wu feng yun: Chen Zhen
48417,线人
48492,狄仁杰之通天帝国
48791,Prince of Jutland
48938,古惑仔2之猛龙过江
48943,98古惑仔之龙争虎斗
48968,Kei tung bou deui: Tung pou
49199,烈火战车２ 极速传说
49239,魔
49259,一个好爸爸
49260,Single Blog
49285,古惑仔激情篇洪兴大飞哥
49291,顺流逆流
49514,Te jing xin ren lei 2
48940,古惑仔之只手遮天
48942,97古惑仔之战无不胜
48944,胜者为王
48963,新古惑仔之少年激斗篇
49215,古惑仔情义篇之洪兴十三妹
49516,黑侠 II
49636,独臂拳王大破血滴子
49642,Nan bei zui quan
49706,维多利亚壹号
49906,Shen quan da zhan kuai qiang shou
49922,Whatever Happened to Harold Smith?
49967,Du bei chuan wang
50147,Nui ji za pai jun
50148,拍案惊奇
50151,Top Fighter
50152,Traces of a Dragon: Jackie Chan & His Lost Family
50154,Xi Zang xiao zi
50256,魔幻厨房:
50260,Wu ye li ren
50261,Mini
50319,喋血孤城
50569,Ma Yong Zhen
50571,霹雳十杰
49288,友情岁月之山鸡故事
49444,Kung Fu Panda 2
49677,游园惊梦
49982,悲情城市
50840,Peace Hotel
50936,战神传说
51011,Gui ma fei ren
51245,形影不离
51484,男人四十
51799,Color Me Love
50005,Wind Blast
50146,新精武门
50393,Kung Fu Panda Holiday
50507,Fei zhou he shang
50572,Xian si jue
51868,Shao Lin jiang shi
52324,百变星君
52384,Shen qiang shou yu zhi duo xing
52387,One Stone and Two Birds
52388,Resort Massacre
52391,Fai seung hung che
52695,Huang jia shi jie zhi III: Ci xiong da dao
52730,金鸡
50650,天水围的夜与雾
50693,Lung Fung Dim
51306,人在囧途
51533,让子弹飞 / Let the Bullets Fly
52854,Jiang tou
52882,醉侠苏乞儿
52947,雀圣
52970,伊贺忍法帖
52972,Ninja the Protector
53006,Tai yang zhi zi
53163,破坏之王
53275,Hong He
53282,My Name Is Fame
53653,监狱风云
53720,烈火战车
51730,鹿鼎记
51731,鹿鼎记 II : 神龙敎
51747,Ngok nam shi kin
51751,Fa fa ying king
51885,太阳照常升起
53807,Li Xiao Long
53839,Hing dai
53970,浑身是胆
53978,Che si shi si
54117,??
54178,独臂刀
52316,Wong Fei Hung ji sei: Wong je ji fung
52463,夜·上海
52768,得閒炒饭
52776,72家租客
53165,逃学威龙 II
54182,烂头何
54321,Mang quan gui shou
54324,唐伯虎点秋香2之四大才子
54328,海洋天堂
54421,麻将
54529,You xia er
54534,前度 EX
54549,Ji keung hei si 2011
53168,喜剧之王
53281,千王之王 2000
53658,赌侠 III 之上海滩赌圣
54233,独立时代
54842,Rage of the Tiger
54848,E hu kuang long
54851,Dragon Lee Vs. The 5 Brothers
54853,伏击
54857,She hao dan xin zhen jiu zhou
54859,猛男大贼胭脂虎
54861,Ma tou da jue dou
54864,Xiao lao hu
55042,The Dark Side of My Mind
55156,九品芝麻官之白面包靑天
55292,新少林寺
55741,Sacrifice
55750,Yan tsoi gong wu
56031,老鼠爱上猫
56095,鹰爪铁布衫
56124,神击大道
56238,Sheng hua te jing zhi sang shi ren wu
56277,Dong kai ji
56328,2002
55157,射鵰英雄传之东成西就
56118,龙的传人
56123,豪门夜宴
56251,监狱风云 II : 道犯
56540,非诚勿扰2
56550,Gam yee wai
56671,Ma ko Po lo
56712,想飞
57039,我爱夜来香
57040,黐线枕边人
57063,Long feng zei zhuo zei
57104,鬼咬鬼
57286,脂粉双雄
57395,海上传奇
57624,Shackleton
57754,红衣喇嘛
57822,Dong fung po
58255,Kung Phooey
58348,Jie dao sha ren
58358,Zhan shen tan
58361,Duo hun ling
58363,Waan ying dak gung
58366,Guang Dong liang zai yu
58368,Gong Fu Yong Chun
58369,The Road Less Traveled
58371,插翅虎
58412,Sai hak chin
56329,C+ jing taam
56563,Vampire Warriors
57100,Shuang tong
57661,赌神3之少年赌神
57663,睹侠
58414,龍在江湖
58452,旺角监狱
58825,Lao shu la gui
58838,知法犯法
58885,Kei tung bou deui - Ging lai
58888,Kei tung bou deui: Yan sing
57880,Ngo oi Heung Gong: Hoi sum man seoi
58311,Jin doi hou haap cyun
58365,Da Xiao Jiang Hu
58409,特警屠龙
58457,Huo shao hong lian si
58901,Kei tung bou deui: Fo pun
58953,AV
58954,Wu du tian luo
59402,螳螂
59405,Guangdong shi hu xing yi wu xi
59499,神奇侠侣
58570,再见阿郎
58679,刀见笑
58776,真心英雄
58882,Snow Flower and the Secret Fan
58889,Kei tung bou deui: Juet lou
59843,富贵列车
60060,The Shaolin Drunken Monk
60145,家有囍事
60231,Meng Bo
60280,雀圣2自摸天后
60415,Tie qi men
60568,Sam chong Siu Lam
60624,Dancing Without You
60788,Lover's Discourse
60802,Hau bei tim sum
60834,Fit Lover
60898,Liao zhai yan tan
59292,至尊无上II永霸天下
59444,2 Young
59967,Looper
60275,Tau chut
61039,Fo zhang luo han quan
61040,离别钧
61187,Siu nin a Fu
61268,Boon chui yan gaan
61468,He xing dao shou tang lang tui
61619,精装追女仔2004
61676,忘不了
61757,流氓英雄
62071,Xue di zi
62225,大丈夫2
62406,神偷谍影
62445,Oi ching baak min baau
62456,再说一次我爱你
62651,2004新紮师兄
62762,Long hu dou
62845,童梦奇缘
62960,太极拳
63031,Return of the Lucky Stars
60282,呖咕呖咕新年财
60785,出埃及记
